mu_g,b,Γ_sch/Γ0,Ecrit_poly/Ecrit0,Γ_inst_avg,Γ_total/Γ0
0.01,0.0,3.487972916654057e+17,4.205477931907825e-08,0.047619047619047616,3.487972916654057e+17
0.01,1.0526315789473684,3.251873888019723e+17,4.205477931907825e-08,0.047619047619047616,3.251873888019723e+17
0.01,2.1052631578947367,3.038960148526333e+17,4.205477931907825e-08,0.047619047619047616,3.038960148526333e+17
0.01,3.1578947368421053,2.84629239162423e+17,4.205477931907825e-08,0.047619047619047616,2.84629239162423e+17
0.01,4.2105263157894735,2.6713827532703654e+17,4.205477931907825e-08,0.047619047619047616,2.6713827532703654e+17
0.01,5.263157894736842,2.5121140940872458e+17,4.205477931907825e-08,0.047619047619047616,2.5121140940872458e+17
0.01,6.315789473684211,2.3666756308674285e+17,4.205477931907825e-08,0.047619047619047616,2.3666756308674285e+17
0.01,7.368421052631579,2.2335112394678963e+17,4.205477931907825e-08,0.047619047619047616,2.2335112394678963e+17
0.01,8.421052631578947,2.1112776564426246e+17,4.205477931907825e-08,0.047619047619047616,2.1112776564426246e+17
0.01,9.473684210526315,1.9988104710770218e+17,4.205477931907825e-08,0.047619047619047616,1.9988104710770218e+17
0.01,10.526315789473683,1.895096291546676e+17,4.205477931907825e-08,0.047619047619047616,1.895096291546676e+17
0.01,11.578947368421051,1.7992498366131683e+17,4.205477931907825e-08,0.047619047619047616,1.7992498366131683e+17
0.01,12.631578947368421,1.7104949813152432e+17,4.205477931907825e-08,0.047619047619047616,1.7104949813152432e+17
0.01,13.68421052631579,1.628148995502588e+17,4.205477931907825e-08,0.047619047619047616,1.628148995502588e+17
0.01,14.736842105263158,1.5516093750178803e+17,4.205477931907825e-08,0.047619047619047616,1.5516093750178803e+17
0.01,15.789473684210526,1.4803427893416365e+17,4.205477931907825e-08,0.047619047619047616,1.4803427893416365e+17
0.01,16.842105263157894,1.4138757656945029e+17,4.205477931907825e-08,0.047619047619047616,1.4138757656945029e+17
0.01,17.894736842105264,1.3517868046612938e+17,4.205477931907825e-08,0.047619047619047616,1.3517868046612938e+17
0.01,18.94736842105263,1.2936996813476296e+17,4.205477931907825e-08,0.047619047619047616,1.2936996813476296e+17
0.01,20.0,1.2392777326322725e+17,4.205477931907825e-08,0.047619047619047616,1.2392777326322725e+17
0.06210526315789474,0.0,3.4879736902031526e+17,-1.1285163967297586e-08,0.047619047619047616,3.4879736902031526e+17
0.06210526315789474,1.0526315789473684,3.251874609207692e+17,-1.1285163967297586e-08,0.047619047619047616,3.251874609207692e+17
0.06210526315789474,2.1052631578947367,3.0389608224951194e+17,-1.1285163967297586e-08,0.047619047619047616,3.0389608224951194e+17
0.06210526315789474,3.1578947368421053,2.8462930228639094e+17,-1.1285163967297586e-08,0.047619047619047616,2.8462930228639094e+17
0.06210526315789474,4.2105263157894735,2.671383345719264e+17,-1.1285163967297586e-08,0.047619047619047616,2.671383345719264e+17
0.06210526315789474,5.263157894736842,2.5121146512141594e+17,-1.1285163967297586e-08,0.047619047619047616,2.5121146512141594e+17
0.06210526315789474,6.315789473684211,2.366676155739564e+17,-1.1285163967297586e-08,0.047619047619047616,2.366676155739564e+17
0.06210526315789474,7.368421052631579,2.23351173480735e+17,-1.1285163967297586e-08,0.047619047619047616,2.23351173480735e+17
0.06210526315789474,8.421052631578947,2.1112781246735888e+17,-1.1285163967297586e-08,0.047619047619047616,2.1112781246735888e+17
0.06210526315789474,9.473684210526315,1.9988109143654502e+17,-1.1285163967297586e-08,0.047619047619047616,1.9988109143654502e+17
0.06210526315789474,10.526315789473683,1.895096711833776e+17,-1.1285163967297586e-08,0.047619047619047616,1.895096711833776e+17
0.06210526315789474,11.578947368421051,1.7992502356438138e+17,-1.1285163967297586e-08,0.047619047619047616,1.7992502356438138e+17
0.06210526315789474,12.631578947368421,1.7104953606621814e+17,-1.1285163967297586e-08,0.047619047619047616,1.7104953606621814e+17
0.06210526315789474,13.68421052631579,1.628149356587153e+17,-1.1285163967297586e-08,0.047619047619047616,1.628149356587153e+17
0.06210526315789474,14.736842105263158,1.5516097191277853e+17,-1.1285163967297586e-08,0.047619047619047616,1.5516097191277853e+17
0.06210526315789474,15.789473684210526,1.480343117646315e+17,-1.1285163967297586e-08,0.047619047619047616,1.480343117646315e+17
0.06210526315789474,16.842105263157894,1.4138760792583826e+17,-1.1285163967297586e-08,0.047619047619047616,1.4138760792583826e+17
0.06210526315789474,17.894736842105264,1.3517871044553246e+17,-1.1285163967297586e-08,0.047619047619047616,1.3517871044553246e+17
0.06210526315789474,18.94736842105263,1.2936999682593237e+17,-1.1285163967297586e-08,0.047619047619047616,1.2936999682593237e+17
0.06210526315789474,20.0,1.239278007474478e+17,-1.1285163967297586e-08,0.047619047619047616,1.239278007474478e+17
0.11421052631578947,0.0,3.487973642666821e+17,-8.007304845103376e-09,0.047619047619047616,3.487973642666821e+17
0.11421052631578947,1.0526315789473684,3.2518745648890694e+17,-8.007304845103376e-09,0.047619047619047616,3.2518745648890694e+17
0.11421052631578947,2.1052631578947367,3.038960781078222e+17,-8.007304845103376e-09,0.047619047619047616,3.038960781078222e+17
0.11421052631578947,3.1578947368421053,2.8462929840728115e+17,-8.007304845103376e-09,0.047619047619047616,2.8462929840728115e+17
0.11421052631578947,4.2105263157894735,2.6713833093119466e+17,-8.007304845103376e-09,0.047619047619047616,2.6713833093119466e+17
0.11421052631578947,5.263157894736842,2.5121146169774576e+17,-8.007304845103376e-09,0.047619047619047616,2.5121146169774576e+17
