mu_g,b,Γ_sch/Γ0,Γ_total/Γ0,Γ_inst,S_inst
0.01,0.0,63.9297992582457,63.9297992582457,0.0,10.0
0.01,0.0,63.9297992582457,63.9297992582457,0.0,37.14285714285714
0.01,0.0,63.9297992582457,63.9297992582457,0.0,64.28571428571428
0.01,0.0,63.9297992582457,63.9297992582457,0.0,91.42857142857143
0.01,0.0,63.9297992582457,63.9297992582457,0.0,118.57142857142857
0.01,0.0,63.9297992582457,63.9297992582457,0.0,145.71428571428572
0.01,0.0,63.9297992582457,63.9297992582457,0.0,172.85714285714286
0.01,0.0,63.9297992582457,63.9297992582457,0.0,200.0
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,10.0
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,37.14285714285714
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,64.28571428571428
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,91.42857142857143
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,118.57142857142857
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,145.71428571428572
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,172.85714285714286
0.01,2.2222222222222223,55.290209546753644,55.290209546753644,0.0,200.0
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,10.0
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,37.14285714285714
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,64.28571428571428
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,91.42857142857143
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,118.57142857142857
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,145.71428571428572
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,172.85714285714286
0.01,4.444444444444445,48.29058059195696,48.29058059195696,0.0,200.0
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,10.0
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,37.14285714285714
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,64.28571428571428
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,91.42857142857143
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,118.57142857142857
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,145.71428571428572
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,172.85714285714286
0.01,6.666666666666667,42.54066435487428,42.54066435487428,0.0,200.0
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,10.0
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,37.14285714285714
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,64.28571428571428
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,91.42857142857143
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,118.57142857142857
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,145.71428571428572
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,172.85714285714286
0.01,8.88888888888889,37.759746605099096,37.759746605099096,0.0,200.0
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,10.0
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,37.14285714285714
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,64.28571428571428
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,91.42857142857143
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,118.57142857142857
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,145.71428571428572
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,172.85714285714286
0.01,11.11111111111111,33.74172352550406,33.74172352550406,0.0,200.0
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,10.0
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,37.14285714285714
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,64.28571428571428
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,91.42857142857143
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,118.57142857142857
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,145.71428571428572
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,172.85714285714286
0.01,13.333333333333334,30.33251092806731,30.33251092806731,0.0,200.0
0.01,15.555555555555557,27.4150487979793,27.4150487979793,0.0,10.0
0.01,15.555555555555557,27.4150487979793,27.4150487979793,0.0,37.14285714285714
