mu_g,b,gamma_ratio,E_crit_ratio,combined_metric
0.1,0.0,1.0,0.967531209275079,1.0335583911026995
0.1,0.4166666666666667,1.2976729254175325,0.967531209275079,1.3412207409720784
0.1,0.8333333333333334,1.7511155096207247,0.967531209275079,1.8098801287585802
0.1,1.25,2.491509873980328,0.967531209275079,2.575120936767598
0.1,1.6666666666666667,3.8240086169976473,0.967531209275079,3.9523361937469477
0.1,2.0833333333333335,6.600988215420868,0.967531209275079,6.822506759618273
0.1,2.5,14.020645107696387,0.967531209275079,14.491155399732614
0.1,2.916666666666667,47.622530661610845,0.967531209275079,49.22066617085349
0.1,3.3333333333333335,1931.703311709323,0.967531209275079,1996.5281669380447
0.1,3.75,10000.0,0.967531209275079,10335.583911026997
0.1,4.166666666666667,10000.0,0.967531209275079,10335.583911026997
0.1,4.583333333333334,10000.0,0.967531209275079,10335.583911026997
0.1,5.0,10000.0,0.967531209275079,10335.583911026997
0.1,5.416666666666667,10000.0,0.967531209275079,10335.583911026997
0.1,5.833333333333334,10000.0,0.967531209275079,10335.583911026997
0.1,6.25,10000.0,0.967531209275079,10335.583911026997
0.1,6.666666666666667,10000.0,0.967531209275079,10335.583911026997
0.1,7.083333333333334,10000.0,0.967531209275079,10335.583911026997
0.1,7.5,10000.0,0.967531209275079,10335.583911026997
0.1,7.916666666666667,10000.0,0.967531209275079,10335.583911026997
0.1,8.333333333333334,10000.0,0.967531209275079,10335.583911026997
0.1,8.75,10000.0,0.967531209275079,10335.583911026997
0.1,9.166666666666668,10000.0,0.967531209275079,10335.583911026997
0.1,9.583333333333334,10000.0,0.967531209275079,10335.583911026997
0.1,10.0,10000.0,0.967531209275079,10335.583911026997
0.12631578947368421,0.0,1.0,0.9485977773711131,1.0541875849333529
0.12631578947368421,0.4166666666666667,1.2976729254175325,0.9485977773711131,1.3679906872793075
0.12631578947368421,0.8333333333333334,1.7511155096207247,0.9485977773711131,1.8460042300264092
0.12631578947368421,1.25,2.491509873980328,0.9485977773711131,2.626518776888924
0.12631578947368421,1.6666666666666667,3.8240086169976473,0.9485977773711131,4.03122240871708
0.12631578947368421,2.0833333333333335,6.600988215420868,0.9485977773711131,6.958679824988048
0.12631578947368421,2.5,14.020645107696387,0.9485977773711131,14.780390005290084
0.12631578947368421,2.916666666666667,47.622530661610845,0.9485977773711131,50.20308058657808
