phi_inst,mean_total_rate,uncertainty,ci_lower,ci_upper,mean_schwinger,mean_instanton,relative_uncertainty
0.0,1.0197227447438342,0.008814712820436358,1.0057730772056461,1.0404234595749562,0.019722744743834276,1.0,0.008644224977693044
0.12693303650867852,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
0.25386607301735703,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
0.3807991095260356,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
0.5077321460347141,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
0.6346651825433925,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
0.7615982190520711,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
0.8885312555607496,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
1.0154642920694281,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
1.1423973285781066,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
1.269330365086785,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
1.3962634015954636,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
1.5231964381041423,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
1.6501294746128208,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
1.7770625111214993,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
1.9039955476301778,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
2.0309285841388562,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
2.1578616206475347,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
2.284794657156213,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
2.4117276936648917,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
2.53866073017357,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
2.6655937666822487,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
2.792526803190927,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
2.9194598396996057,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
3.0463928762082846,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
3.173325912716963,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
3.3002589492256416,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
3.42719198573432,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
3.5541250222429985,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
3.681058058751677,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
3.8079910952603555,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
3.934924131769034,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
4.0618571682777125,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
4.188790204786391,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
4.3157232412950695,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
4.442656277803748,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
4.569589314312426,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
4.696522350821105,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
4.823455387329783,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
4.950388423838462,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
5.07732146034714,0.019722744743834276,0.00881471282043636,0.005773077205646074,0.040423459574956085,0.019722744743834276,0.0,0.44693134423858605
