mu_g,b,Yield_Gain_Ratio,Field_Gain_Ratio,Schwinger_Rate,Critical_Field
0.2,14.21,0.986738,0.886236,0.00229236,3.2e-05
0.2188,14.21,0.984151,0.886236,0.00228635,3.2e-05
0.2375,14.21,0.981339,0.886236,0.00227982,3.2e-05
0.2562,14.21,0.978303,0.886236,0.00227276,3.2e-05
0.275,14.21,0.975044,0.886236,0.00226519,3.2e-05
0.2938,14.21,0.971566,0.886236,0.00225711,3.2e-05
0.3125,14.21,0.967869,0.886236,0.00224852,3.2e-05
0.3312,14.21,0.963955,0.886236,0.00223943,3.2e-05
0.35,14.21,0.959828,0.886236,0.00222984,3.2e-05
0.3687,14.21,0.955488,0.886236,0.00221976,3.2e-05
0.3875,14.21,0.950939,0.886236,0.00220919,3.2e-05
0.4062,14.21,0.946183,0.886236,0.00219814,3.2e-05
0.425,14.21,0.941223,0.886236,0.00218662,3.2e-05
0.4438,14.21,0.936061,0.886236,0.00217463,3.2e-05
0.4625,14.21,0.930701,0.886236,0.00216217,3.2e-05
0.4812,14.21,0.925144,0.886236,0.00214927,3.2e-05
0.5,14.21,0.919395,0.886236,0.00213591,3.2e-05
0.05,15.0,0.999167,0.879834,0.00232123,3.1e-05
0.0688,15.0,0.998425,0.879834,0.00231951,3.1e-05
0.0875,15.0,0.997451,0.879834,0.00231725,3.1e-05
0.1062,15.0,0.996243,0.879834,0.00231444,3.1e-05
0.125,15.0,0.994803,0.879834,0.00231109,3.1e-05
0.1438,15.0,0.993131,0.879834,0.00230721,3.1e-05
0.1625,15.0,0.991229,0.879834,0.00230279,3.1e-05
0.1813,15.0,0.989097,0.879834,0.00229784,3.1e-05
0.2,15.0,0.986738,0.879834,0.00229236,3.1e-05
0.2188,15.0,0.984151,0.879834,0.00228635,3.1e-05
0.2375,15.0,0.981339,0.879834,0.00227982,3.1e-05
0.2562,15.0,0.978303,0.879834,0.00227276,3.1e-05
0.275,15.0,0.975044,0.879834,0.00226519,3.1e-05
0.2938,15.0,0.971566,0.879834,0.00225711,3.1e-05
0.3125,15.0,0.967869,0.879834,0.00224852,3.1e-05
0.3312,15.0,0.963955,0.879834,0.00223943,3.1e-05
0.35,15.0,0.959828,0.879834,0.00222984,3.1e-05
0.3687,15.0,0.955488,0.879834,0.00221976,3.1e-05
0.3875,15.0,0.950939,0.879834,0.00220919,3.1e-05
0.4062,15.0,0.946183,0.879834,0.00219814,3.1e-05
0.425,15.0,0.941223,0.879834,0.00218662,3.1e-05
0.4438,15.0,0.936061,0.879834,0.00217463,3.1e-05
0.4625,15.0,0.930701,0.879834,0.00216217,3.1e-05
0.4812,15.0,0.925144,0.879834,0.00214927,3.1e-05
0.5,15.0,0.919395,0.879834,0.00213591,3.1e-05
